row_off,col_off,width,height,label,filename,longitude,latitude
64,9536,64,64,0,patch_r64_c9536_lbl0.tif,108.38779177064708,32.18211687245962
64,9600,64,64,0,patch_r64_c9600_lbl0.tif,108.40845537756688,32.18153342883529
64,9664,64,64,0,patch_r64_c9664_lbl0.tif,108.42911868907018,32.18094643828382
64,9728,64,64,0,patch_r64_c9728_lbl0.tif,108.44978170337315,32.18035590087262
64,9792,64,64,0,patch_r64_c9792_lbl0.tif,108.47044441869213,32.17976181666921
64,9856,64,64,0,patch_r64_c9856_lbl0.tif,108.49110683324359,32.179164185741634
64,9920,64,64,0,patch_r64_c9920_lbl0.tif,108.51176894524419,32.178563008158335
64,9984,64,64,0,patch_r64_c9984_lbl0.tif,108.53243075291073,32.1779582839881
128,9536,64,64,0,patch_r128_c9536_lbl0.tif,108.38708652668511,32.16507718481657
128,9600,64,64,0,patch_r128_c9600_lbl0.tif,108.40774583875664,32.164493848239466
128,9664,64,64,0,patch_r128_c9664_lbl0.tif,108.42840485559594,32.16390696538298
128,9728,64,64,0,patch_r128_c9728_lbl0.tif,108.44906357542034,32.16331653631421
128,9792,64,64,0,patch_r128_c9792_lbl0.tif,108.46972199644726,32.16272256110074
128,9856,64,64,0,patch_r128_c9856_lbl0.tif,108.4903801168943,32.16212503981057
128,9920,64,64,0,patch_r128_c9920_lbl0.tif,108.51103793497923,32.16152397251194
128,9984,64,64,0,patch_r128_c9984_lbl0.tif,108.53169544891995,32.1609193592737
128,10048,64,64,0,patch_r128_c10048_lbl0.tif,108.55235265693454,32.16031120016497
128,10112,64,64,0,patch_r128_c10112_lbl0.tif,108.5730095572412,32.15969949525536
192,9600,64,64,0,patch_r192_c9600_lbl0.tif,108.4070365951786,32.14745384329101
192,9664,64,64,0,patch_r192_c9664_lbl0.tif,108.42769131913663,32.14686706804053
192,9728,64,64,1,patch_r192_c9728_lbl1.tif,108.448345746265,32.146276747224796
192,9792,64,64,0,patch_r192_c9792_lbl0.tif,108.46899987478228,32.14568288091133
192,9856,64,64,1,patch_r192_c9856_lbl1.tif,108.48965370290718,32.14508546916799
192,9920,64,64,0,patch_r192_c9920_lbl0.tif,108.51030722885852,32.14448451206303
192,9984,64,64,0,patch_r192_c9984_lbl0.tif,108.53096045085535,32.143880009665224
192,10048,64,64,1,patch_r192_c10048_lbl1.tif,108.55161336711686,32.143271962043606
192,10112,64,64,0,patch_r192_c10112_lbl0.tif,108.57226597586235,32.14266036926764
192,10176,64,64,0,patch_r192_c10176_lbl0.tif,108.59291827531135,32.14204523140731
192,10240,64,64,0,patch_r192_c10240_lbl0.tif,108.61357026368347,32.141426548532806
256,9664,64,64,0,patch_r256_c9664_lbl0.tif,108.426978079507,32.12982674497809
256,9728,64,64,0,patch_r256_c9728_lbl0.tif,108.44762821572081,32.12923653232602
256,9792,64,64,0,patch_r256_c9792_lbl0.tif,108.46827805350974,32.12864277482266
256,9856,64,64,0,patch_r256_c9856_lbl0.tif,108.4889275910936,32.12804547253576
256,9920,64,64,0,patch_r256_c9920_lbl0.tif,108.50957682669234,32.12744462553356
256,9984,64,64,0,patch_r256_c9984_lbl0.tif,108.53022575852613,32.12684023388468
256,10048,64,64,0,patch_r256_c10048_lbl0.tif,108.5508743848152,32.126232297658156
256,10112,64,64,0,patch_r256_c10112_lbl0.tif,108.57152270378003,32.12562081692338
256,10176,64,64,0,patch_r256_c10176_lbl0.tif,108.59217071364121,32.12500579175011
256,10240,64,64,0,patch_r256_c10240_lbl0.tif,108.6128184126195,32.12438722220868
256,10304,64,64,0,patch_r256_c10304_lbl0.tif,108.63346579893582,32.123765108369646
320,9728,64,64,1,patch_r320_c9728_lbl1.tif,108.44691098360151,32.11219589034018
320,9792,64,64,0,patch_r320_c9792_lbl0.tif,108.46755653244229,32.11160224155704
320,9856,64,64,0,patch_r320_c9856_lbl0.tif,108.48820178126513,32.11100504863626
320,9920,64,64,0,patch_r320_c9920_lbl0.tif,108.50884672829118,32.11040431164592
320,9984,64,64,0,patch_r320_c9984_lbl0.tif,108.5294913717416,32.10980003065459
320,10048,64,64,0,patch_r320_c10048_lbl0.tif,108.55013570983783,32.10919220573116
320,10112,64,64,0,patch_r320_c10112_lbl0.tif,108.57077974080138,32.10858083694503
320,10176,64,64,0,patch_r320_c10176_lbl0.tif,108.591423462854,32.10796592436596
320,10240,64,64,0,patch_r320_c10240_lbl0.tif,108.61206687421753,32.107347468064035
320,10304,64,64,0,patch_r320_c10304_lbl0.tif,108.63270997311399,32.1067254681098
320,10368,64,64,0,patch_r320_c10368_lbl0.tif,108.65335275776556,32.1060999245743
384,9792,64,64,0,patch_r384_c9792_lbl0.tif,108.46683531139276,32.09456127983725
384,9856,64,64,0,patch_r384_c9856_lbl0.tif,108.48747627323354,32.093964196192346
384,9920,64,64,0,patch_r384_c9920_lbl0.tif,108.50811693346563,32.093363569123035
384,9984,64,64,0,patch_r384_c9984_lbl0.tif,108.52875729031132,32.09275939869787
384,10048,64,64,0,patch_r384_c10048_lbl0.tif,108.54939734199314,32.092151684985694
384,10112,64,64,0,patch_r384_c10112_lbl0.tif,108.57003708673373,32.09154042805584
384,10176,64,64,0,patch_r384_c10176_lbl0.tif,108.5906765227559,32.09092562797793
384,10240,64,64,0,patch_r384_c10240_lbl0.tif,108.61131564828264,32.09030728482206
