filename,label
patch_r1024_c9984_lbl0.tif,0
patch_r1984_c12352_lbl0.tif,0
patch_r3072_c14912_lbl0.tif,0
patch_r3136_c12608_lbl0.tif,0
patch_r12160_c5568_lbl0.tif,0
patch_r3008_c14656_lbl0.tif,0
patch_r12032_c11008_lbl0.tif,0
patch_r12224_c3584_lbl0.tif,0
patch_r2880_c13312_lbl1.tif,1
patch_r9600_c2816_lbl1.tif,1
patch_r4160_c12288_lbl0.tif,0
patch_r5760_c10752_lbl0.tif,0
patch_r5056_c11776_lbl1.tif,1
patch_r9152_c1408_lbl1.tif,1
patch_r7744_c8000_lbl1.tif,1
patch_r2688_c14400_lbl0.tif,0
patch_r3328_c9984_lbl1.tif,1
patch_r2496_c13312_lbl0.tif,0
patch_r1216_c11456_lbl0.tif,0
patch_r1920_c13312_lbl0.tif,0
patch_r7616_c8256_lbl1.tif,1
patch_r2624_c11712_lbl1.tif,1
patch_r640_c10880_lbl0.tif,0
patch_r704_c10944_lbl0.tif,0
patch_r10560_c8768_lbl0.tif,0
patch_r13632_c10944_lbl0.tif,0
patch_r2048_c11968_lbl0.tif,0
patch_r832_c10560_lbl0.tif,0
patch_r4096_c13824_lbl0.tif,0
patch_r9600_c9472_lbl0.tif,0
patch_r10176_c1600_lbl1.tif,1
patch_r12032_c10048_lbl0.tif,0
patch_r256_c9984_lbl0.tif,0
patch_r2304_c11776_lbl0.tif,0
patch_r13056_c12416_lbl0.tif,0
patch_r11328_c9152_lbl0.tif,0
patch_r12544_c5376_lbl0.tif,0
patch_r6976_c9280_lbl0.tif,0
patch_r13120_c11968_lbl0.tif,0
patch_r14464_c11328_lbl0.tif,0
patch_r5376_c11776_lbl0.tif,0
patch_r1472_c10944_lbl0.tif,0
patch_r4224_c12416_lbl0.tif,0
patch_r2560_c10240_lbl0.tif,0
patch_r8512_c8512_lbl0.tif,0
patch_r2816_c14656_lbl0.tif,0
patch_r2752_c11072_lbl0.tif,0
patch_r4288_c9920_lbl1.tif,1
patch_r3072_c11136_lbl0.tif,0
patch_r3776_c13440_lbl1.tif,1
patch_r10816_c9088_lbl0.tif,0
patch_r9024_c5760_lbl1.tif,1
patch_r5632_c11712_lbl0.tif,0
patch_r7296_c6784_lbl1.tif,1
patch_r9536_c8576_lbl0.tif,0
patch_r4480_c13120_lbl0.tif,0
patch_r4480_c11200_lbl0.tif,0
patch_r2240_c10816_lbl1.tif,1
patch_r6784_c7104_lbl1.tif,1
patch_r8576_c9536_lbl0.tif,0
patch_r5184_c13504_lbl0.tif,0
patch_r5504_c6912_lbl1.tif,1
patch_r9472_c1280_lbl1.tif,1
patch_r2112_c10240_lbl0.tif,0
patch_r9216_c9856_lbl0.tif,0
patch_r13632_c11328_lbl0.tif,0
patch_r4416_c14016_lbl0.tif,0
patch_r2752_c9152_lbl0.tif,0
patch_r1792_c13504_lbl0.tif,0
patch_r9408_c9472_lbl1.tif,1
patch_r832_c10432_lbl0.tif,0
patch_r9152_c1664_lbl1.tif,1
patch_r9728_c8384_lbl0.tif,0
patch_r5248_c12928_lbl0.tif,0
patch_r5376_c13248_lbl0.tif,0
patch_r12160_c10368_lbl0.tif,0
patch_r5888_c12096_lbl1.tif,1
patch_r7744_c10048_lbl0.tif,0
patch_r11712_c2240_lbl1.tif,1
patch_r4544_c13568_lbl0.tif,0
patch_r10240_c8320_lbl0.tif,0
patch_r4288_c14528_lbl0.tif,0
patch_r4352_c12096_lbl1.tif,1
patch_r3520_c13440_lbl0.tif,0
patch_r9280_c4480_lbl1.tif,1
patch_r14336_c11392_lbl0.tif,0
patch_r1536_c11392_lbl0.tif,0
patch_r8128_c4416_lbl1.tif,1
patch_r1792_c12416_lbl0.tif,0
patch_r640_c9728_lbl0.tif,0
patch_r5440_c13056_lbl0.tif,0
patch_r10752_c7808_lbl1.tif,1
patch_r2624_c13376_lbl0.tif,0
patch_r5632_c11328_lbl0.tif,0
patch_r3072_c10304_lbl0.tif,0
patch_r3904_c15040_lbl1.tif,1
patch_r11008_c9344_lbl0.tif,0
patch_r896_c10176_lbl0.tif,0
patch_r2944_c10752_lbl0.tif,0
patch_r7424_c9792_lbl1.tif,1
patch_r2496_c9664_lbl0.tif,0
patch_r10560_c10048_lbl0.tif,0
patch_r2368_c10496_lbl1.tif,1
patch_r2688_c9600_lbl0.tif,0
patch_r1664_c10688_lbl0.tif,0
patch_r10432_c8704_lbl0.tif,0
patch_r512_c10688_lbl0.tif,0
patch_r6976_c9152_lbl1.tif,1
patch_r9728_c3968_lbl1.tif,1
patch_r11200_c9216_lbl0.tif,0
patch_r8384_c10048_lbl1.tif,1
patch_r14400_c11392_lbl1.tif,1
patch_r3200_c13824_lbl1.tif,1
patch_r9728_c7360_lbl0.tif,0
patch_r10560_c8000_lbl0.tif,0
