row_off,col_off,width,height,label,filename
64,9600,64,64,0,patch_r64_c9600_lbl0.tif
64,9664,64,64,0,patch_r64_c9664_lbl0.tif
64,9856,64,64,0,patch_r64_c9856_lbl0.tif
64,9920,64,64,0,patch_r64_c9920_lbl0.tif
128,9600,64,64,0,patch_r128_c9600_lbl0.tif
128,9664,64,64,0,patch_r128_c9664_lbl0.tif
128,9728,64,64,0,patch_r128_c9728_lbl0.tif
128,9792,64,64,0,patch_r128_c9792_lbl0.tif
128,9856,64,64,0,patch_r128_c9856_lbl0.tif
128,9920,64,64,0,patch_r128_c9920_lbl0.tif
128,9984,64,64,0,patch_r128_c9984_lbl0.tif
128,10048,64,64,0,patch_r128_c10048_lbl0.tif
128,10112,64,64,0,patch_r128_c10112_lbl0.tif
192,9664,64,64,0,patch_r192_c9664_lbl0.tif
192,9728,64,64,1,patch_r192_c9728_lbl1.tif
192,9792,64,64,0,patch_r192_c9792_lbl0.tif
192,9856,64,64,1,patch_r192_c9856_lbl1.tif
192,9920,64,64,0,patch_r192_c9920_lbl0.tif
192,9984,64,64,0,patch_r192_c9984_lbl0.tif
192,10048,64,64,1,patch_r192_c10048_lbl1.tif
192,10112,64,64,0,patch_r192_c10112_lbl0.tif
192,10176,64,64,0,patch_r192_c10176_lbl0.tif
256,9728,64,64,0,patch_r256_c9728_lbl0.tif
256,9792,64,64,0,patch_r256_c9792_lbl0.tif
256,9856,64,64,0,patch_r256_c9856_lbl0.tif
256,9920,64,64,0,patch_r256_c9920_lbl0.tif
256,9984,64,64,0,patch_r256_c9984_lbl0.tif
256,10048,64,64,0,patch_r256_c10048_lbl0.tif
256,10112,64,64,0,patch_r256_c10112_lbl0.tif
256,10176,64,64,0,patch_r256_c10176_lbl0.tif
256,10240,64,64,0,patch_r256_c10240_lbl0.tif
320,9728,64,64,1,patch_r320_c9728_lbl1.tif
320,9792,64,64,0,patch_r320_c9792_lbl0.tif
320,9856,64,64,0,patch_r320_c9856_lbl0.tif
320,9920,64,64,0,patch_r320_c9920_lbl0.tif
320,9984,64,64,0,patch_r320_c9984_lbl0.tif
320,10048,64,64,0,patch_r320_c10048_lbl0.tif
320,10112,64,64,0,patch_r320_c10112_lbl0.tif
320,10176,64,64,0,patch_r320_c10176_lbl0.tif
320,10240,64,64,0,patch_r320_c10240_lbl0.tif
320,10304,64,64,0,patch_r320_c10304_lbl0.tif
384,9792,64,64,0,patch_r384_c9792_lbl0.tif
384,9856,64,64,0,patch_r384_c9856_lbl0.tif
384,9920,64,64,0,patch_r384_c9920_lbl0.tif
384,9984,64,64,0,patch_r384_c9984_lbl0.tif
384,10048,64,64,0,patch_r384_c10048_lbl0.tif
384,10112,64,64,0,patch_r384_c10112_lbl0.tif
384,10176,64,64,0,patch_r384_c10176_lbl0.tif
384,10240,64,64,0,patch_r384_c10240_lbl0.tif
384,10304,64,64,0,patch_r384_c10304_lbl0.tif
384,10368,64,64,0,patch_r384_c10368_lbl0.tif
384,10432,64,64,0,patch_r384_c10432_lbl0.tif
384,10496,64,64,0,patch_r384_c10496_lbl0.tif
384,10560,64,64,0,patch_r384_c10560_lbl0.tif
384,10624,64,64,0,patch_r384_c10624_lbl0.tif
448,9792,64,64,1,patch_r448_c9792_lbl1.tif
448,9856,64,64,0,patch_r448_c9856_lbl0.tif
448,9920,64,64,0,patch_r448_c9920_lbl0.tif
448,9984,64,64,0,patch_r448_c9984_lbl0.tif
448,10048,64,64,0,patch_r448_c10048_lbl0.tif
448,10112,64,64,0,patch_r448_c10112_lbl0.tif
448,10176,64,64,0,patch_r448_c10176_lbl0.tif
448,10240,64,64,0,patch_r448_c10240_lbl0.tif
448,10304,64,64,0,patch_r448_c10304_lbl0.tif
448,10368,64,64,0,patch_r448_c10368_lbl0.tif
448,10432,64,64,0,patch_r448_c10432_lbl0.tif
448,10496,64,64,0,patch_r448_c10496_lbl0.tif
448,10560,64,64,0,patch_r448_c10560_lbl0.tif
448,10624,64,64,0,patch_r448_c10624_lbl0.tif
512,9792,64,64,0,patch_r512_c9792_lbl0.tif
512,9856,64,64,0,patch_r512_c9856_lbl0.tif
512,9920,64,64,0,patch_r512_c9920_lbl0.tif
512,9984,64,64,0,patch_r512_c9984_lbl0.tif
512,10048,64,64,0,patch_r512_c10048_lbl0.tif
512,10112,64,64,0,patch_r512_c10112_lbl0.tif
512,10176,64,64,0,patch_r512_c10176_lbl0.tif
512,10240,64,64,0,patch_r512_c10240_lbl0.tif
512,10304,64,64,0,patch_r512_c10304_lbl0.tif
512,10368,64,64,0,patch_r512_c10368_lbl0.tif
512,10432,64,64,0,patch_r512_c10432_lbl0.tif
512,10496,64,64,1,patch_r512_c10496_lbl1.tif
512,10560,64,64,1,patch_r512_c10560_lbl1.tif
512,10624,64,64,0,patch_r512_c10624_lbl0.tif
512,10688,64,64,0,patch_r512_c10688_lbl0.tif
576,9536,64,64,0,patch_r576_c9536_lbl0.tif
576,9600,64,64,0,patch_r576_c9600_lbl0.tif
576,9664,64,64,0,patch_r576_c9664_lbl0.tif
576,9728,64,64,0,patch_r576_c9728_lbl0.tif
576,9792,64,64,0,patch_r576_c9792_lbl0.tif
576,9856,64,64,0,patch_r576_c9856_lbl0.tif
576,9920,64,64,1,patch_r576_c9920_lbl1.tif
576,9984,64,64,0,patch_r576_c9984_lbl0.tif
576,10048,64,64,0,patch_r576_c10048_lbl0.tif
576,10112,64,64,0,patch_r576_c10112_lbl0.tif
576,10176,64,64,0,patch_r576_c10176_lbl0.tif
576,10240,64,64,0,patch_r576_c10240_lbl0.tif
576,10304,64,64,0,patch_r576_c10304_lbl0.tif
576,10368,64,64,0,patch_r576_c10368_lbl0.tif
576,10432,64,64,0,patch_r576_c10432_lbl0.tif
576,10496,64,64,0,patch_r576_c10496_lbl0.tif
576,10560,64,64,0,patch_r576_c10560_lbl0.tif
576,10624,64,64,0,patch_r576_c10624_lbl0.tif
576,10688,64,64,0,patch_r576_c10688_lbl0.tif
576,10752,64,64,0,patch_r576_c10752_lbl0.tif
576,10816,64,64,0,patch_r576_c10816_lbl0.tif
576,10880,64,64,0,patch_r576_c10880_lbl0.tif
640,9536,64,64,0,patch_r640_c9536_lbl0.tif
640,9600,64,64,0,patch_r640_c9600_lbl0.tif
640,9664,64,64,0,patch_r640_c9664_lbl0.tif
640,9728,64,64,0,patch_r640_c9728_lbl0.tif
640,9792,64,64,0,patch_r640_c9792_lbl0.tif
640,9856,64,64,0,patch_r640_c9856_lbl0.tif
640,9984,64,64,1,patch_r640_c9984_lbl1.tif
640,10048,64,64,0,patch_r640_c10048_lbl0.tif
640,10112,64,64,0,patch_r640_c10112_lbl0.tif
640,10176,64,64,1,patch_r640_c10176_lbl1.tif
640,10240,64,64,0,patch_r640_c10240_lbl0.tif
640,10304,64,64,0,patch_r640_c10304_lbl0.tif
640,10368,64,64,0,patch_r640_c10368_lbl0.tif
640,10432,64,64,0,patch_r640_c10432_lbl0.tif
640,10496,64,64,0,patch_r640_c10496_lbl0.tif
640,10560,64,64,0,patch_r640_c10560_lbl0.tif
640,10624,64,64,1,patch_r640_c10624_lbl1.tif
640,10688,64,64,0,patch_r640_c10688_lbl0.tif
640,10752,64,64,0,patch_r640_c10752_lbl0.tif
640,10816,64,64,0,patch_r640_c10816_lbl0.tif
